review,label,clean_review
"Aplikasi ini sangat membantu, tapi kadang lemot kalau sinyal buruk. Overall oke lah.",positif,aplikasi bantu kadang lot sinyal buruk overall oke
"Belanja pertama lancar, yang kedua barangnya lama banget dikirim. Kecewa sih.",positif,belanja lancar barang banget kirim kecewa sih
"UI/UX sudah membaik dari versi sebelumnya, tapi sistem pencarian masih tidak akurat.",netral,uiux baik versi sistem cari akurat
Kenapa tiba-tiba aplikasi force close terus? Padahal sebelumnya lancar.,positif,tibatiba aplikasi force close lancar
"Pengalaman belanja sangat menyenangkan, pengiriman cepat, CS responsif. Good job!",positif,alam belanja senang kirim cepat cs responsif good job
"Lumayan sih, kadang ada bug tapi sering update juga.",negatif,lumayan sih kadang bug update
"Saya sudah dua kali beli di sini dan selalu memuaskan. Penjual responsif, pengiriman cepat.",positif,kali beli muas jual responsif kirim cepat
"Setelah update terbaru, aplikasi sering ngelag. Harap segera diperbaiki.",netral,update baru aplikasi ngelag harap baik
"Barangnya tidak sesuai deskripsi, sangat mengecewakan dan CS tidak membantu.",netral,barang sesuai deskripsi kecewa cs bantu
"Fitur promo sering error saat checkout, padahal sinyal bagus dan aplikasi sudah diupdate.",positif,fitur promo error checkout sinyal bagus aplikasi diupdate
"Packing rapi, barang aman sampai tujuan. Terima kasih Shopee!",netral,packing rapi barang aman tuju terima kasih shopee
"Cukup puas, hanya saja notifikasi suka telat muncul. Mohon ditingkatkan.",positif,puas notifikasi suka telat muncul mohon tingkat
"Awalnya lancar, tapi sekarang sering keluar sendiri dari aplikasi.",positif,lancar aplikasi
